MIN;AVG;MAX
5;49;83
10;50;67
23;56;70
22;57;68
36;58;70
32;60;67
37;59;68
32;59;67
22;56;68
36;55;68
8;51;65
20;48;64
30;52;66
30;41;68
19;56;70
37;60;70
24;58;71
32;57;68
5;49;67
24;53;70
35;57;67
31;54;67
6;49;81
24;53;73
14;56;70
35;61;74
36;61;73
35;59;72
34;60;72
35;60;68
37;60;68
36;59;69
34;56;68
26;56;66
36;57;64
24;48;65
31;54;69
33;58;70
21;57;67
32;59;69
36;61;73
15;58;73
26;59;72
34;61;72
35;61;73
33;57;68
32;60;69
37;60;70
32;59;70
34;59;68
35;61;70
37;61;70
38;61;70
38;61;69
38;60;69
35;54;67
6;54;79
23;57;77
26;58;75
16;59;75
30;57;70
35;60;72
28;60;72
35;59;70
19;58;71
37;58;70
38;59;71
34;57;68
37;58;75
30;61;76
29;59;71
32;60;73
40;61;73
36;62;72
29;60;74
35;60;73
34;59;71
40;62;71
29;56;68
35;55;71
37;59;71
18;57;69
7;59;91
32;57;78
27;59;77
30;61;76
32;61;73
27;62;74
39;62;73
35;62;74
38;60;74
35;59;70
35;60;72
32;62;73
27;60;72
35;58;70
32;59;73
33;55;74
22;60;72
30;59;70
8;59;91
6;56;90
33;62;75
29;59;76
39;58;72
32;61;73
38;62;73
40;61;73
36;60;74
35;60;72
23;60;73
30;59;69
35;58;69
35;55;74
19;58;74
37;58;69
7;60;91
6;58;91
31;56;77
24;59;77
27;60;76
39;62;73
39;62;73
33;62;73
38;61;72
35;60;72
38;62;73
27;60;72
33;59;71
35;56;67
36;57;73
22;59;72
7;57;74
6;56;77
37;59;69
22;58;69
33;56;70
37;57;66
33;58;65
38;56;65
27;52;65
37;55;64
7;53;65
11;54;87
29;55;69
35;56;69
24;59;71
35;56;69
29;55;66
36;55;68
34;56;66
35;56;68
35;54;68
32;54;66
33;54;65
36;53;66
33;57;67
30;55;68
36;59;70
36;57;67
25;52;66
33;54;65
24;53;68
35;56;67
32;53;65
30;57;71
9;56;90
13;57;89
26;60;73
41;61;73
31;62;74
40;61;72
38;61;72
40;61;72
30;59;74
29;59;72
38;57;74
39;61;78
40;61;79
38;56;80
36;55;66
37;57;78
39;59;72
36;58;73
