MIN;AVG;MAX
4;52;90
21;57;71
28;57;74
23;58;72
32;62;73
38;63;74
40;62;74
37;63;74
25;58;74
29;62;75
31;62;74
40;63;74
8;60;74
34;58;70
29;55;71
35;55;72
37;62;74
28;60;73
39;60;72
35;58;71
28;58;72
29;58;72
39;61;74
19;60;74
31;62;74
5;59;74
39;60;73
5;56;74
37;61;72
7;59;73
5;52;83
33;60;75
36;62;77
37;62;75
36;62;75
29;59;75
32;60;72
7;56;74
6;54;84
25;58;74
33;57;69
37;60;74
36;60;73
26;60;72
36;58;68
30;56;70
37;58;68
35;59;70
38;60;69
35;60;67
35;60;71
35;60;70
23;55;65
26;49;65
28;51;65
29;53;63
23;54;66
24;54;67
31;55;67
30;48;67
26;56;69
35;60;71
34;59;70
36;59;70
9;53;67
35;58;69
35;57;72
20;52;69
22;54;69
35;56;75
24;59;74
38;62;75
37;62;77
37;62;79
30;64;80
41;64;81
40;64;81
38;64;80
29;64;80
39;63;80
