MIN;AVG;MAX
8;64;86
40;77;89
49;76;86
49;77;88
51;76;87
49;75;85
37;70;82
15;68;85
32;69;83
44;73;84
24;72;85
39;68;81
46;71;83
24;67;78
54;70;84
53;79;93
44;79;92
43;73;90
45;71;82
45;69;81
45;68;81
53;74;89
45;77;88
49;75;87
45;69;86
50;70;76
48;70;77
22;65;81
12;62;77
31;62;80
53;78;90
46;71;88
15;63;81
47;68;79
48;73;83
26;75;105
46;80;100
52;75;90
43;75;88
29;76;88
41;74;86
40;78;101
51;83;102
22;65;91
31;64;76
36;60;77
31;60;73
40;59;75
31;61;79
32;59;81
34;63;80
39;65;85
40;67;82
51;75;85
47;75;88
49;72;82
49;75;89
49;73;87
54;75;88
45;75;88
47;73;86
21;74;86
52;78;88
45;79;91
53;80;91
50;79;91
53;79;91
47;80;92
47;78;88
53;78;91
53;79;90
52;75;90
49;78;89
51;80;90
54;79;90
52;77;89
52;80;90
51;80;91
51;80;91
49;80;91
50;80;91
46;79;91
52;79;91
47;77;89
44;77;90
52;79;91
56;79;89
50;78;91
65;80;90
47;77;89
37;79;91
54;78;89
48;80;91
54;79;90
53;79;91
52;80;91
52;76;90
52;76;89
50;79;90
54;79;91
50;80;91
48;77;90
49;76;91
48;79;92
51;78;91
45;78;91
48;79;91
51;80;91
51;78;89
49;79;90
53;77;89
46;77;88
44;77;90
48;75;88
53;78;90
55;78;90
40;75;89
52;78;88
50;73;88
21;76;90
50;79;89
47;79;90
45;78;90
56;78;90
50;78;91
41;79;91
53;78;91
52;80;91
53;79;89
52;80;91
50;78;91
51;76;87
50;79;90
54;80;91
45;75;86
15;73;89
46;80;93
51;85;93
55;85;92
57;86;92
56;86;94
58;88;93
56;87;93
57;86;94
54;88;93
57;86;93
54;87;93
46;86;94
57;88;93
55;85;93
55;82;92
59;86;93
58;88;94
59;88;93
58;87;93
56;88;94
57;86;93
55;86;94
76;88;94
56;87;93
60;86;93
16;80;93
49;80;93
56;83;93
61;85;93
55;86;93
46;86;93
57;85;93
58;86;92
58;86;92
57;86;93
54;83;93
21;82;92
56;88;93
56;87;93
47;86;93
57;87;93
53;84;93
58;86;93
56;87;93
50;85;93
57;85;93
55;86;93
59;87;93
57;86;93
57;86;93
49;87;94
58;87;93
50;86;93
50;85;93
58;85;93
48;87;94
54;86;94
58;86;93
58;88;93
58;88;93
54;88;93
54;86;94
56;88;93
48;86;93
47;86;93
58;86;93
57;85;93
58;86;93
56;86;93
58;85;93
58;86;93
56;85;93
54;85;93
47;86;93
58;86;93
57;85;93
58;88;93
58;88;94
56;84;93
56;87;93
57;87;93
58;86;93
