MIN;AVG;MAX
4;52;90
21;57;71
28;57;74
23;58;72
32;62;73
38;63;74
40;62;74
37;63;74
25;58;74
29;62;75
31;62;74
40;63;74
8;60;74
34;58;70
29;55;71
35;55;72
37;62;74
28;60;73
39;60;72
35;58;71
28;58;72
29;58;72
39;61;74
19;60;74
31;62;74
5;59;74
39;60;73
5;56;74
37;61;72
7;59;73
5;52;83
33;60;75
36;62;77
37;62;75
36;62;75
29;59;75
32;60;72
7;56;74
6;54;84
25;58;74
33;57;69
37;60;74
36;60;73
26;60;72
36;58;68
30;56;70
37;58;68
35;59;70
38;60;69
35;60;67
35;60;71
35;60;70
23;55;65
26;49;65
28;51;65
29;53;63
23;54;66
24;54;67
31;55;67
30;48;67
26;56;69
35;60;71
34;59;70
36;59;70
9;53;67
35;58;69
35;57;72
20;52;69
22;54;69
35;56;75
24;59;74
38;62;75
37;62;77
37;62;79
30;64;80
41;64;81
40;64;81
38;64;80
29;64;80
39;63;80
6;61;80
5;53;86
26;56;74
26;62;75
32;62;74
29;60;74
33;62;74
31;63;76
40;63;76
18;61;73
35;60;73
39;62;73
37;63;73
39;62;73
28;63;73
40;62;73
37;63;73
37;62;73
35;61;73
39;62;72
39;62;73
35;61;73
35;61;73
24;59;71
35;58;68
31;57;69
35;53;73
29;59;75
27;61;73
27;59;73
33;59;67
36;60;72
28;59;70
22;57;72
33;59;74
33;54;73
23;60;75
36;61;75
3;59;75
7;58;72
14;54;88
35;57;68
35;55;67
15;59;69
36;59;67
22;54;66
34;56;67
37;58;66
33;56;67
25;49;61
33;54;64
37;57;66
39;60;67
26;56;66
25;57;66
38;61;69
36;58;70
31;58;68
28;55;66
30;55;67
34;56;67
27;59;69
23;60;68
26;56;70
26;61;72
36;60;74
25;61;75
38;59;73
28;63;75
39;63;75
39;63;76
21;61;75
40;62;74
37;63;74
29;63;75
27;62;74
39;62;73
38;63;75
34;63;75
36;63;75
27;63;75
27;60;74
16;60;72
38;63;73
25;59;75
38;63;74
28;62;74
39;63;76
28;62;76
39;61;75
28;61;76
40;63;74
40;62;74
19;61;75
27;62;74
40;62;75
35;62;75
32;61;75
38;62;74
39;63;76
29;63;76
39;62;75
28;62;75
26;62;76
36;63;76
37;63;76
36;62;77
40;63;76
38;62;75
27;63;76
20;61;76
36;63;74
3;59;74
15;61;70
5;56;70
34;60;71
39;62;71
28;62;72
37;62;72
26;62;72
37;62;71
37;62;72
35;62;72
37;62;72
40;62;72
39;61;72
39;62;72
40;62;72
28;62;71
39;62;72
39;62;72
38;62;72
26;62;72
38;61;72
36;61;71
37;61;72
38;61;72
36;62;72
36;62;72
36;61;72
38;62;72
38;62;72
40;62;72
39;62;72
27;62;72
38;61;72
34;62;71
23;61;70
35;61;70
36;62;70
19;60;71
34;62;71
27;62;72
39;62;70
38;61;71
38;62;71
38;61;71
39;61;72
38;62;72
39;62;72
37;62;72
39;62;72
36;61;72
27;62;72
37;62;72
39;61;72
34;60;72
37;60;70
36;61;71
33;61;71
6;57;68
34;57;68
5;55;88
28;56;70
31;57;69
34;60;69
22;59;68
35;54;65
36;59;65
35;56;65
36;58;66
17;55;67
27;54;62
23;47;59
30;54;63
33;52;67
25;55;65
34;56;64
33;54;62
23;48;61
31;50;62
